customer_id,age,income,employment_status,dependents,credit_limit,credit_utilization,avg_monthly_spending,late_payment_count,account_age_months,payment_status,missed_payment_6m,full_payment_ratio,debt_to_income,credit_limit_to_income,risk_score,risk_category,age_group
CUST00001,59,7500000.0,Employed,3,10000000,17.592433751589798,1759243,1,74,Current,0,87.02840617491417,23.46,1.33,42,Medium Risk,51-65
CUST00002,49,3000000.0,Employed,3,5000000,31.647010256253903,1582350,1,7,Current,0,86.76512189492826,52.74,1.67,57,Medium Risk,41-50
CUST00003,35,20000000.0,Employed,2,15000000,40.344386831393145,6051658,0,97,Current,0,66.64282793005933,30.26,0.75,30,Low Risk,31-40
CUST00004,63,7500000.0,Employed,2,5000000,18.942972202957737,947148,0,110,Late,1,41.58301066852311,12.63,0.67,42,Medium Risk,51-65
CUST00005,28,5000000.0,Employed,0,10000000,17.949627371970863,1794962,0,59,Current,0,65.86605603731394,35.9,2.0,27,Low Risk,21-30
CUST00006,41,3000000.0,Unemployed,0,5000000,30.684425210246435,1534221,0,32,Current,0,72.62216101389409,51.14,1.67,42,Medium Risk,41-50
CUST00007,59,10000000.0,Self-employed,3,10000000,32.954133936527086,3295413,0,36,Late,0,81.81375652328357,32.95,1.0,40,Medium Risk,51-65
CUST00008,39,7500000.0,Unemployed,3,10000000,28.004307754771578,2800430,0,46,Current,1,45.4778601289444,37.34,1.33,32,Low Risk,31-40
CUST00009,43,7500000.0,Employed,0,25000000,41.560866545120554,10390216,0,41,Current,1,86.25736257249613,138.54,3.33,42,Medium Risk,41-50
CUST00010,31,15000000.0,Employed,0,5000000,43.877264490134685,2193863,0,52,Current,0,93.3536460595589,14.63,0.33,30,Low Risk,31-40
CUST00011,31,10000000.0,Employed,1,10000000,37.72197593297334,3772197,0,48,Late,1,44.80062437802738,37.72,1.0,45,Medium Risk,31-40
CUST00012,44,7500000.0,Employed,1,10000000,19.07131420531398,1907131,0,70,Late,0,51.376231711402994,25.43,1.33,37,Medium Risk,41-50
CUST00013,56,5000000.0,Self-employed,0,15000000,55.02640258308823,8253960,1,55,Late,0,62.24495511317881,165.08,3.0,62,Medium Risk,51-65
CUST00014,60,7500000.0,Employed,1,10000000,12.789989043989022,1278998,1,98,Late,0,52.638395975823826,17.05,1.33,52,Medium Risk,51-65
CUST00015,44,10000000.0,Employed,4,15000000,25.982324087824193,3897348,1,6,Current,0,55.25866824266312,38.97,1.5,35,Medium Risk,41-50
CUST00016,23,3000000.0,Employed,3,15000000,16.08307941584816,2412461,1,77,Current,2,82.38194966343939,80.42,5.0,52,Medium Risk,21-30
CUST00017,42,7500000.0,Employed,3,25000000,15.545520897987686,3886380,3,62,Current,0,44.76038455382513,51.82,3.33,52,Medium Risk,41-50
CUST00018,22,10000000.0,Self-employed,0,10000000,6.974461356439853,697446,0,21,Current,0,88.82963152069308,6.97,1.0,20,Low Risk,21-30
CUST00019,44,15000000.0,Employed,2,10000000,12.048105868362121,1204810,0,33,Current,0,54.813908706705284,8.03,0.67,20,Low Risk,41-50
CUST00020,64,5000000.0,Employed,0,25000000,21.6725591355385,5418139,0,91,Current,0,81.92353000965396,108.36,5.0,27,Low Risk,51-65
CUST00021,50,15000000.0,Employed,1,50000000,43.74840501579399,21874202,1,87,Current,0,37.25742095924479,145.83,3.33,45,Medium Risk,41-50
CUST00022,58,3000000.0,Employed,2,25000000,28.338229887700567,7084557,0,27,Late,0,73.88052794646289,236.15,8.33,42,Medium Risk,51-65
CUST00023,22,15000000.0,Self-employed,1,10000000,12.681917285184163,1268191,0,46,Current,0,94.97726974077378,8.45,0.67,20,Low Risk,21-30
CUST00024,41,7500000.0,Self-employed,4,5000000,34.99711769878075,1749855,0,81,Current,0,71.04779849333576,23.33,0.67,37,Medium Risk,41-50
CUST00025,53,5000000.0,Unemployed,1,10000000,15.47882072144545,1547882,0,24,Current,0,44.591128331723326,30.96,2.0,27,Low Risk,51-65
CUST00026,32,10000000.0,Self-employed,4,15000000,28.502631978548333,4275394,1,94,Current,1,46.38070844359728,42.75,1.5,40,Medium Risk,31-40
CUST00027,42,3000000.0,Employed,4,10000000,25.17774457736023,2517774,0,55,Current,0,50.38356393171317,83.93,3.33,32,Low Risk,41-50
CUST00028,64,5000000.0,Employed,1,10000000,26.287358353953994,2628735,0,64,Current,0,95.30621706756769,52.57,2.0,27,Low Risk,51-65
CUST00029,45,10000000.0,Employed,1,25000000,25.744682374605382,6436170,0,74,Current,0,97.23772802427438,64.36,2.5,20,Low Risk,41-50
CUST00030,47,10000000.0,Employed,4,10000000,50.39067880174607,5039067,0,39,Late,0,63.92402638402223,50.39,1.0,40,Medium Risk,41-50
CUST00031,62,7500000.0,Self-employed,2,25000000,29.18703371403939,7296758,1,44,Late,0,58.042803970470935,97.29,3.33,52,Medium Risk,51-65
CUST00032,48,10000000.0,Employed,4,10000000,15.545600463760504,1554560,1,79,Current,1,55.24151129590007,15.55,1.0,40,Medium Risk,41-50
CUST00033,36,7500000.0,Self-employed,3,10000000,18.7327867264899,1873278,0,116,Current,0,70.53959635622311,24.98,1.33,27,Low Risk,31-40
CUST00034,35,5000000.0,Employed,4,10000000,35.53409916048372,3553409,3,12,Current,0,77.30092058291876,71.07,2.0,62,Medium Risk,31-40
CUST00035,64,5000000.0,Employed,2,15000000,51.94678075844885,7792017,3,106,Late,2,95.92678172410277,155.84,3.0,77,High Risk,51-65
CUST00036,23,3000000.0,Employed,3,5000000,6.500973537382354,325048,2,116,Current,0,64.47433139470935,10.83,1.67,47,Medium Risk,21-30
CUST00037,57,15000000.0,Self-employed,0,5000000,16.166232396655374,808311,0,57,Current,1,84.57068742684322,5.39,0.33,25,Low Risk,51-65
CUST00038,27,7500000.0,Employed,0,50000000,26.086381972348494,13043190,1,65,Late,0,65.87679542333815,173.91,6.67,52,Medium Risk,21-30
CUST00039,41,5000000.0,Employed,2,5000000,10.055269829732318,502763,0,57,Current,2,76.84219187930252,10.06,1.0,32,Low Risk,41-50
CUST00040,29,7500000.0,Employed,4,10000000,27.307383539741377,2730738,0,84,Current,0,54.81169061980934,36.41,1.33,27,Low Risk,21-30
CUST00041,59,20000000.0,Employed,1,10000000,31.44286878500435,3144286,1,111,Current,0,70.35712886289784,15.72,0.5,45,Medium Risk,51-65
CUST00042,38,3000000.0,Employed,2,10000000,38.27962005638406,3827962,0,29,Current,0,79.10843954949797,127.6,3.33,42,Medium Risk,31-40
CUST00043,24,7500000.0,Self-employed,3,15000000,39.53888777169511,5930833,1,31,Current,0,82.23256757250691,79.08,2.0,52,Medium Risk,21-30
CUST00044,45,7500000.0,Employed,3,5000000,28.998072006861864,1449903,0,95,Current,1,83.68074146753905,19.33,0.67,32,Low Risk,41-50
CUST00045,34,7500000.0,Employed,0,10000000,61.40536571392487,6140536,2,115,Late,1,81.93097493179164,81.87,1.33,77,High Risk,31-40
CUST00046,29,3000000.0,Employed,3,10000000,13.883213905665711,1388321,0,95,Current,0,70.50895422104297,46.28,3.33,32,Low Risk,21-30
CUST00047,46,15000000.0,Employed,2,15000000,50.579222034842964,7586883,0,15,Current,1,81.08024794998518,50.58,1.0,35,Medium Risk,41-50
CUST00048,22,20000000.0,Self-employed,3,5000000,36.78015253189207,1839007,0,22,Current,0,66.52539304230584,9.2,0.25,30,Low Risk,21-30
CUST00049,40,7500000.0,Employed,2,10000000,10.417146514461043,1041714,0,83,Late,0,77.95111950519797,13.89,1.33,37,Medium Risk,31-40
CUST00050,48,10000000.0,Employed,1,5000000,16.75488736354689,837744,2,7,Current,0,72.28893764411742,8.38,0.5,35,Medium Risk,41-50
CUST00051,27,20000000.0,Employed,0,5000000,45.859987366748385,2292999,0,117,Current,2,78.17982164250978,11.46,0.25,35,Medium Risk,21-30
CUST00052,64,10000000.0,Unemployed,3,5000000,43.84693037896168,2192346,0,82,Current,1,77.97026850288647,21.92,0.5,35,Medium Risk,51-65
CUST00053,28,3000000.0,Self-employed,2,5000000,18.230727500773508,911536,0,32,Late,1,54.79528556771287,30.38,1.67,47,Medium Risk,21-30
CUST00054,55,7500000.0,Employed,4,25000000,18.999152261423983,4749788,0,78,Current,0,73.35393899891874,63.33,3.33,27,Low Risk,51-65
CUST00055,34,7500000.0,Employed,0,5000000,18.62946777074421,931473,2,76,Current,0,80.68212375951599,12.42,0.67,42,Medium Risk,31-40
CUST00056,37,5000000.0,Employed,1,25000000,38.91487347998465,9728718,1,53,Current,0,52.659007037317515,194.57,5.0,52,Medium Risk,31-40
CUST00057,56,10000000.0,Self-employed,2,50000000,21.562047637689087,10781023,1,79,Late,0,78.44509687326874,107.81,5.0,45,Medium Risk,51-65
CUST00058,60,20000000.0,Employed,1,10000000,48.99033519428792,4899033,0,14,Current,1,87.02293923258655,24.5,0.5,35,Medium Risk,51-65
CUST00059,24,20000000.0,Employed,1,5000000,24.469330285822455,1223466,1,91,Current,1,78.40855995104144,6.12,0.25,40,Medium Risk,21-30
CUST00060,22,7500000.0,Employed,3,10000000,70.79130775020853,7079130,1,28,Late,0,51.002614947604116,94.39,1.33,72,High Risk,21-30
CUST00061,26,3000000.0,Employed,3,15000000,26.73915487721733,4010873,0,76,Late,0,56.267014067241206,133.7,5.0,42,Medium Risk,21-30
CUST00062,62,20000000.0,Employed,2,10000000,26.480575568632947,2648057,0,117,Current,0,70.9712434774195,13.24,0.5,20,Low Risk,51-65
CUST00063,24,15000000.0,Self-employed,4,5000000,30.139256449958886,1506962,0,78,Delinquent,0,97.64185706708969,10.05,0.33,45,Medium Risk,21-30
CUST00064,49,3000000.0,Employed,2,10000000,21.076375877040924,2107637,1,32,Current,0,75.29487569704756,70.25,3.33,47,Medium Risk,41-50
CUST00065,38,20000000.0,Employed,4,25000000,36.27259139888656,9068147,1,93,Current,0,64.9225529702659,45.34,1.25,45,Medium Risk,31-40
CUST00066,46,15000000.0,Employed,1,15000000,53.02447090641763,7953670,1,98,Late,0,79.45232356309093,53.02,1.0,55,Medium Risk,41-50
CUST00067,64,7500000.0,Unemployed,0,5000000,23.460085085355928,1173004,1,86,Current,1,67.30081026377682,15.64,0.67,47,Medium Risk,51-65
CUST00068,54,7500000.0,Employed,2,15000000,23.2276804595131,3484152,0,89,Current,0,65.35569945368506,46.46,2.0,27,Low Risk,51-65
